species,web_local,mode
Indicator_maculatus,web=GCA_013399975.1
Indri_indri,web=GCA_004363605.1
Inia_geoffrensis,web=GCA_004363515.1
Interochromis_loocki,web=GCA_015105475.1
Irena_cyanogastra,web=GCA_013397155.1
Isoodon_auratus_barrowensis,web=GCA_904811015.1
Istiophorus_platypterus,web=GCA_016859345.1
Jacana_jacana,web=GCA_013400555.1
Jaculus_jaculus,web=GCA_000280705.1
Julidochromis_transcriptus,web=GCA_015103115.1
Junco_hyemalis,web=GCA_003829775.1
Kobus_leche_leche,web=GCA_014926565.1
Kogia_breviceps,web=GCA_004363705.1
Kryptolebias_marmoratus,web=GCA_001649575.2
Labeo_rohita,web=GCA_017311145.1
Labeotropheus_fuelleborni,web=GCA_000150875.1
Labrus_bergylta,web=GCA_900080235.1
Lacerta_agilis,web=GCA_009819535.1
Laemonema_laureysi,web=GCA_900303225.1
Lagenorhynchus_obliquidens,web=GCA_003676395.1
Lagopus_muta_japonica,web=GCA_004320205.1
Lama_guanicoe_cacsilensis,web=GCA_013239625.1
Lampris_guttatus,web=GCA_900302545.1
Lamprogrammus_exutus,web=GCA_900312555.1
Lamprologus_speciosus,web=GCA_015109675.1
Lamprotornis_superbus,web=GCA_015883425.1
Lanius_ludovicianus,web=GCA_013397235.1
Larimichthys_crocea,web=GCA_000972845.2
Larus_smithsonianus,web=GCA_013400295.1
Lasiurus_borealis,web=GCA_004026805.1
Lateolabrax_maculatus,web=GCA_004023545.1
Lates_calcarifer,web=GCA_001640805.1
Laticauda_colubrina,web=GCA_015471245.1
Latimeria_chalumnae,web=GCA_000225785.1
Leiothrix_lutea,web=GCA_013400445.1
Lemur_catta,web=GCA_004024665.1
Lepidiolamprologus_profundicola,web=GCA_015109915.1
Lepidothrix_coronata,web=GCA_001604755.1
Lepisosteus_oculatus,web=GCA_000242695.1
Leptobrachium_leishanense,web=GCA_009667805.1
Leptocoma_aspasia,web=GCA_013399835.1
Leptonychotes_weddellii,web=GCA_000349705.1
Leptosomus_discolor,web=GCA_000691785.1
Lepus_timidus,web=GCA_009760805.1
Lestradea_stappersii,web=GCA_015106895.1
Lesueurigobius_sanzi,web=GCA_900303255.1
Lethenteron_reissneri,web=GCA_015708825.1
Leuciscus_waleckii,web=GCA_900092035.1
Leucopsar_rothschildi,web=GCA_014363365.1
Leucoraja_erinacea,web=GCA_000238235.1
Lichenostomus_cassidix,web=GCA_008360975.1
Limnochromis_staneri,web=GCA_015104515.1
Limnodynastes_dumerilii,web=GCA_011038615.1
Limnothrissa_miodon,web=GCA_017657215.1
Limnotilapia_dardennii,web=GCA_015103815.1
Limosa_lapponica_baueri,web=GCA_002844005.1
Liparis_tanakae,web=GCA_006348945.1
Lipotes_vexillifer,web=GCA_000442215.1
Lithobates_catesbeianus,web=GCA_002284835.2
Litocranius_walleri,web=GCA_006410535.1
Lobochilotes_labiatus,web=GCA_015104595.1
Locustella_ochotensis,web=GCA_013400155.1
Lonchura_striata_domestica,web=GCA_005870125.1
Lontra_canadensis,web=GCA_010015895.1
Lophius_piscatorius,web=GCA_009660295.1
Lophochroa_leadbeateri,web=GCA_010015045.1
Lophotis_ruficrista,web=GCA_013396455.1
Lorius_garrulus,web=GCA_010014925.1
Lota_lota,web=GCA_900302385.1
Loxia_leucoptera,web=GCA_013396895.1
Loxodonta_africana,web=GCA_000001905.1
Lucifuga_dentata,web=GCA_014773175.1
Lutra_lutra,web=GCA_902655055.2
Lycaon_pictus,web=GCA_004216515.1
Lycocorax_pyrrhopterus_obiensis,web=GCA_014706295.1
Lynx_canadensis,web=GCA_007474595.2
